iter	MultiClass
0	1.697747185
1	1.527708965
2	1.40170023
3	1.296848338
4	1.213291494
5	1.141634648
6	1.082769128
7	1.029037009
8	0.9841687764
9	0.9437688921
10	0.9079328199
11	0.8744922572
12	0.844935191
13	0.8192759204
14	0.7936185992
15	0.7711129011
16	0.7483685152
17	0.7305560416
18	0.7129940828
19	0.6930547778
20	0.6750710908
21	0.6600223169
22	0.6468510028
23	0.6331297967
24	0.6156409643
25	0.6039382748
26	0.5924175666
27	0.5814340947
28	0.5728204944
29	0.5653637144
30	0.5541590873
31	0.5451070759
32	0.535874869
33	0.5271844874
34	0.5208549058
35	0.5153046976
36	0.5059610683
37	0.5004983441
38	0.4887420112
39	0.4826917434
40	0.4763162496
41	0.4703932003
42	0.4652675736
43	0.4554997514
44	0.4508967664
45	0.4454361964
46	0.4399537316
47	0.434671527
48	0.4308011062
49	0.4270412849
50	0.4221566976
51	0.4177084499
52	0.4148819985
53	0.4114894258
54	0.4090092279
55	0.4056164617
56	0.4028827775
57	0.3995337965
58	0.3965713607
59	0.3936907597
60	0.3908053993
61	0.3870119251
62	0.3818278477
63	0.3792314667
64	0.3765386511
65	0.3740562309
66	0.3710289678
67	0.3684130491
68	0.3659795958
69	0.3630659505
70	0.3602905142
71	0.356500585
72	0.3536256083
73	0.3514302046
74	0.3497455801
75	0.3473994286
76	0.3440373164
77	0.3414183238
78	0.3384864128
79	0.3356739041
80	0.3341588198
81	0.3322140666
82	0.3303666281
83	0.3287169375
84	0.3262592582
85	0.3241250994
86	0.3213602538
87	0.3190678591
88	0.3171252109
89	0.3155632797
90	0.3142965899
91	0.3119963702
92	0.3101076704
93	0.3074854945
94	0.3060736146
95	0.3047023166
96	0.3036461249
97	0.302481956
98	0.3000148079
99	0.2984400347
100	0.2973078861
101	0.2957459111
102	0.2934564551
103	0.2914488438
104	0.2889472657
105	0.2877551657
106	0.2865184791
107	0.2849847026
108	0.2837419358
109	0.2819089794
110	0.2806264725
111	0.2796887678
112	0.2764417381
113	0.2754958859
114	0.2742400559
115	0.2731807352
116	0.2722929115
117	0.270673163
118	0.269474199
119	0.2679178699
120	0.266738619
121	0.2660299151
122	0.2639732967
123	0.263014584
124	0.2621576649
125	0.2603484914
126	0.2593633544
127	0.2581995314
128	0.2568113886
129	0.2560535306
130	0.254906611
131	0.2535361761
132	0.2509116057
133	0.2500117687
134	0.2492664458
135	0.2485127539
136	0.2476199937
137	0.2465074825
138	0.2456786233
139	0.2445665871
140	0.2432356091
141	0.2421276474
142	0.2415820948
143	0.240764909
144	0.2398588647
145	0.2388372517
146	0.238472532
147	0.2373445727
148	0.2365813035
149	0.2355133614
150	0.2348296464
151	0.233593576
152	0.232508971
153	0.2317441966
154	0.2310832221
155	0.2304437468
156	0.2300512533
157	0.2293644273
158	0.2280896344
159	0.2271945301
160	0.2265374219
161	0.2257916956
162	0.2250021361
163	0.2243640913
164	0.2232179754
165	0.2221220425
166	0.2214504938
167	0.2210684427
168	0.2198714612
169	0.2191150009
170	0.2186706622
171	0.2176821509
172	0.2167528096
173	0.2156985693
174	0.2147655821
175	0.2134037914
176	0.2125721288
177	0.2118632333
178	0.2113318574
179	0.2102486042
180	0.2097869764
181	0.2091205536
182	0.2084657223
183	0.2076969569
184	0.2068268753
185	0.2060195758
186	0.2053046338
187	0.2049959045
188	0.2047685834
189	0.2040616947
190	0.2035229087
191	0.2030485627
192	0.2025195401
193	0.2018101895
194	0.201071095
195	0.2005366227
196	0.1997054595
197	0.1990705388
198	0.1985308302
199	0.1980991024
200	0.1976433727
201	0.1967475111
202	0.1962343267
203	0.1958743027
204	0.1951245601
205	0.1944964752
206	0.1940601759
207	0.1933675542
208	0.1930909246
209	0.192556963
210	0.1920604461
211	0.1915557659
212	0.1907084556
213	0.1902369437
214	0.1896582331
215	0.1893348856
216	0.1889992512
217	0.1887278302
218	0.1884704538
219	0.1877430575
220	0.1871003455
221	0.1867262153
222	0.1861652913
223	0.1857603872
224	0.1853060854
225	0.1848245686
226	0.1841893787
227	0.1835586533
228	0.1832417609
229	0.1827470066
230	0.1826113939
231	0.1822537161
232	0.1815175947
233	0.1812104374
234	0.1807633262
235	0.1801329193
236	0.1796149865
237	0.1791606335
238	0.1787788424
239	0.178496825
240	0.1776231825
241	0.1770990261
242	0.1766517017
243	0.176434066
244	0.1757352813
245	0.1754903038
246	0.1751335773
247	0.1746300177
248	0.1735135528
249	0.1730624216
250	0.1727259164
251	0.1722593398
252	0.1714471006
253	0.1712370888
254	0.1707733605
255	0.1702353105
256	0.170076555
257	0.1697862073
258	0.1693826901
259	0.1690012713
260	0.1688041009
261	0.1683838771
262	0.1678292151
263	0.1673554746
264	0.1671360588
265	0.1667704066
266	0.1666472024
267	0.1662703655
268	0.1658015624
269	0.1654775864
270	0.1651784152
271	0.1648006993
272	0.1644287134
273	0.1641777795
274	0.1636196341
275	0.1630097025
276	0.1625938875
277	0.1623340969
278	0.1621592748
279	0.1618354854
280	0.1608058328
281	0.1605444977
282	0.1603121023
283	0.1599510849
284	0.1595665114
285	0.1593211578
286	0.159199181
287	0.1586983457
288	0.1582840464
289	0.1580723236
290	0.1577681234
291	0.1572192719
292	0.1569872591
293	0.1566767712
294	0.1565244124
295	0.1563411304
296	0.1561042416
297	0.1556744632
298	0.1555469752
299	0.1552065782
300	0.154996464
301	0.1548331458
302	0.1546114988
303	0.1543017724
304	0.1541310068
305	0.1539041856
306	0.153498245
307	0.1532012443
308	0.1531080314
309	0.1528907202
310	0.1526620881
311	0.1524407084
312	0.1520039873
313	0.1517762708
314	0.1516255417
315	0.1510350363
316	0.1507695798
317	0.1506045279
318	0.1503618775
319	0.1501216222
320	0.1497927495
321	0.1491892051
322	0.149030331
323	0.1486595517
324	0.148230694
325	0.1480048113
326	0.1477218526
327	0.1474819144
328	0.1471825373
329	0.1469411717
330	0.1467086195
331	0.1463635557
332	0.1459806077
333	0.145676929
