iter	Passed	Remaining
0	9	9256
1	18	9353
2	30	10067
3	38	9630
4	50	10053
5	62	10326
6	71	10119
7	83	10307
8	95	10523
9	103	10220
10	114	10304
11	124	10246
12	133	10121
13	142	10066
14	151	9945
15	161	9957
16	171	9938
17	180	9870
18	189	9792
19	198	9731
20	207	9693
21	215	9598
22	226	9620
23	236	9616
24	247	9651
25	258	9690
26	267	9653
27	279	9706
28	290	9724
29	299	9680
30	311	9730
31	323	9785
32	333	9784
33	343	9748
34	352	9729
35	362	9719
36	374	9750
37	383	9704
38	393	9690
39	403	9674
40	413	9663
41	426	9737
42	437	9739
43	448	9750
44	459	9758
45	472	9797
46	482	9780
47	492	9770
48	505	9802
49	516	9812
50	529	9849
51	540	9857
52	554	9911
53	568	9961
54	578	9940
55	590	9955
56	601	9947
57	611	9934
58	622	9929
59	635	9955
60	646	9945
61	655	9915
62	665	9894
63	674	9867
64	688	9907
65	704	9971
66	719	10013
67	730	10010
68	739	9972
69	749	9957
70	757	9917
71	768	9904
72	781	9919
73	793	9927
74	803	9914
75	817	9937
76	830	9958
77	844	9983
78	855	9978
79	866	9969
80	879	9976
81	891	9984
82	902	9975
83	916	9996
84	934	10055
85	949	10089
86	962	10102
87	973	10089
88	992	10155
89	1003	10150
90	1016	10157
91	1029	10156
92	1046	10202
93	1059	10211
94	1070	10199
95	1080	10177
96	1093	10182
97	1106	10180
98	1117	10167
99	1131	10182
100	1142	10173
101	1156	10177
102	1169	10182
103	1185	10214
104	1203	10255
105	1215	10251
106	1226	10239
107	1242	10258
108	1255	10261
109	1266	10243
110	1277	10228
111	1291	10239
112	1307	10262
113	1321	10267
114	1333	10265
115	1351	10296
116	1364	10297
117	1375	10279
118	1387	10270
119	1401	10280
120	1413	10269
121	1424	10253
122	1436	10240
123	1448	10233
124	1459	10216
125	1470	10201
126	1484	10205
127	1499	10214
128	1512	10211
129	1522	10189
130	1533	10174
131	1546	10167
132	1560	10170
133	1570	10150
134	1581	10130
135	1594	10130
136	1605	10114
137	1616	10098
138	1630	10097
139	1641	10083
140	1652	10068
141	1664	10059
142	1675	10040
143	1684	10015
144	1694	9992
145	1703	9966
146	1712	9939
147	1723	9922
148	1733	9903
149	1744	9884
150	1755	9870
151	1763	9836
152	1774	9823
153	1783	9796
154	1792	9770
155	1803	9756
156	1810	9721
157	1819	9698
158	1828	9672
159	1840	9662
160	1849	9640
161	1858	9614
162	1868	9595
163	1877	9568
164	1888	9555
165	1897	9534
166	1906	9510
167	1916	9488
168	1924	9464
169	1935	9447
170	1942	9419
171	1954	9408
172	1963	9385
173	1972	9364
174	1983	9352
175	1997	9350
176	2007	9332
177	2021	9336
178	2034	9332
179	2045	9318
180	2056	9305
181	2068	9297
182	2078	9280
183	2090	9268
184	2102	9263
185	2115	9256
186	2122	9228
187	2133	9215
188	2143	9195
189	2152	9176
190	2161	9157
191	2169	9131
192	2180	9117
193	2190	9099
194	2200	9084
195	2211	9071
196	2223	9063
197	2236	9058
198	2250	9056
199	2262	9051
200	2273	9038
201	2286	9032
202	2297	9021
203	2308	9009
204	2323	9010
205	2335	8999
206	2346	8989
207	2356	8972
208	2364	8950
209	2377	8944
210	2389	8934
211	2399	8919
212	2412	8912
213	2421	8892
214	2429	8871
215	2441	8860
216	2451	8846
217	2460	8827
218	2470	8811
219	2479	8791
220	2489	8775
221	2503	8773
222	2512	8755
223	2526	8750
224	2540	8750
225	2553	8744
