iter	MultiClass
0	1.491966928
1	1.388885177
2	1.302517263
3	1.225155369
4	1.162778592
5	1.112938935
6	1.063994431
7	1.021175422
8	0.9754812088
9	0.9362037561
10	0.9006412114
11	0.8702242829
12	0.8416695585
13	0.8130526584
14	0.7853120492
15	0.7642349682
16	0.7396581334
17	0.721237595
18	0.702328927
19	0.6850200597
20	0.6677297243
21	0.6507164313
22	0.6375624119
23	0.6223606663
24	0.6095419932
25	0.5972053747
26	0.5871868589
27	0.5770194299
28	0.5668443569
29	0.55707836
30	0.5489227479
31	0.5363898945
32	0.526663362
33	0.519183922
34	0.5101389999
35	0.502499951
36	0.4953088811
37	0.4866332697
38	0.4781589678
39	0.4708025323
40	0.4624437951
41	0.4573088764
42	0.4520067343
43	0.4473468539
44	0.44164336
45	0.435755224
46	0.4328252589
47	0.4275024661
48	0.4230183457
49	0.4184273583
50	0.4145813243
51	0.4092007717
52	0.4062211715
53	0.4024261739
54	0.3990872614
55	0.3959121643
56	0.3920445102
57	0.3881177828
58	0.3844744554
59	0.3797380131
60	0.3766693853
61	0.374290388
62	0.3700456495
63	0.3670292382
64	0.3633735886
65	0.3608955358
66	0.3574714757
67	0.3547713283
68	0.3522183647
69	0.3496822139
70	0.3471393914
71	0.3432805842
72	0.3415678458
73	0.3381739407
74	0.336290067
75	0.3341935024
76	0.3319400612
77	0.3284878353
78	0.3268381848
79	0.3242440104
80	0.3218216524
81	0.3186942463
82	0.3168958585
83	0.3140855126
84	0.3121917923
85	0.3104322071
86	0.3084087524
87	0.3068297625
88	0.3045116961
89	0.3032702025
90	0.301102884
91	0.2994506201
92	0.2981402252
93	0.2957249659
94	0.2941162768
95	0.2924858507
96	0.2906354577
97	0.2884014174
98	0.2863985163
99	0.2850770388
100	0.2840013055
101	0.282442643
102	0.2810733415
103	0.2796186596
104	0.2779678776
105	0.2771282883
106	0.2752120703
107	0.2737885159
108	0.2723195274
109	0.2713959887
110	0.2710049506
111	0.2690963848
112	0.2679577511
113	0.26695354
114	0.2659096868
115	0.2641169802
116	0.2632852829
117	0.260980511
118	0.259760946
119	0.2579042073
120	0.2573815951
121	0.2559742371
122	0.2547239337
123	0.2533372626
124	0.2520941273
125	0.2510362474
126	0.2495506404
127	0.2483907434
128	0.2469389418
129	0.2456259403
130	0.2439545529
131	0.2430807606
132	0.2418351335
133	0.2403332815
134	0.2394195569
135	0.2389257761
136	0.2376514814
137	0.2370345937
138	0.2358198507
139	0.2350612747
140	0.2342353882
141	0.2333653819
142	0.2323964026
143	0.2311428937
144	0.2303970403
145	0.2299383219
146	0.229621328
147	0.229077869
148	0.2282366142
149	0.2273163762
150	0.2268254006
151	0.2258575567
152	0.2240892611
153	0.2230922611
154	0.2225376282
155	0.2216851432
156	0.2203075501
157	0.2197019513
158	0.218556605
159	0.2169377554
160	0.2158197976
161	0.2152271125
162	0.2149123081
163	0.2144483276
164	0.2137267665
165	0.2127382113
166	0.2122348217
167	0.211607773
168	0.2106580304
169	0.2092399375
170	0.2086347315
171	0.2080948698
172	0.2076121355
173	0.2069139455
174	0.2060413367
175	0.2053117736
176	0.2044757603
177	0.2041375975
178	0.2029634997
179	0.2022235339
180	0.2017988225
181	0.2011368309
182	0.2005534543
183	0.1998757813
184	0.1992130337
185	0.1985088359
186	0.1981130532
187	0.1970918399
188	0.1966355029
189	0.1961767225
190	0.1952662693
191	0.193799936
192	0.1930737382
193	0.1923960836
194	0.1915780621
195	0.1910487298
196	0.1906118911
197	0.1901908639
198	0.1898172191
199	0.1890367539
200	0.1886951495
201	0.1876864323
202	0.1871552823
203	0.1858695839
204	0.1852678074
205	0.184786695
206	0.1842107007
207	0.1834499475
208	0.182655305
209	0.1810930089
210	0.1801877041
211	0.1796277495
212	0.178672514
213	0.1779698039
214	0.1774433006
215	0.1761457754
216	0.1755658223
217	0.1752140351
218	0.1749158919
219	0.1744690226
220	0.1738897607
221	0.1732005977
222	0.172883589
223	0.1720263909
224	0.1716310251
225	0.1713040032
226	0.1706963899
227	0.1702499801
228	0.1698717412
229	0.1694488273
230	0.1685810377
231	0.1681148226
232	0.1678332906
233	0.1674427654
234	0.1666383099
235	0.1662909237
236	0.1659381396
237	0.1653748013
238	0.1647701262
239	0.164311946
240	0.1637628152
241	0.1632141605
242	0.1623855074
243	0.1621211157
244	0.1615328466
245	0.160900179
246	0.1602939274
247	0.1599559847
248	0.159540506
249	0.1588298248
250	0.1581924626
251	0.1575803147
252	0.1573500714
253	0.1569323221
254	0.1564238088
255	0.1561514205
256	0.1558327858
257	0.1551265871
258	0.1539109984
259	0.1533516729
260	0.1527307125
261	0.1522094825
262	0.1517216718
263	0.1510934008
264	0.150598283
265	0.1501984398
266	0.1496422953
267	0.149204369
268	0.148897782
269	0.1479333074
270	0.1473739993
271	0.1469464479
272	0.1465864391
273	0.1462558393
274	0.1457287866
275	0.1449797784
276	0.144579851
277	0.1440574179
278	0.1437232625
279	0.1434265816
280	0.1431635072
281	0.1427204341
282	0.1424948193
283	0.1420642315
284	0.1417561737
285	0.1411401745
286	0.1407981433
287	0.1406297125
288	0.140260527
289	0.1397475144
290	0.1393564789
291	0.1388983721
292	0.138453053
293	0.1381339478
294	0.1377894651
295	0.1375485898
296	0.1369762355
297	0.1363734915
298	0.1359807149
299	0.1357356728
300	0.1352435407
301	0.1347109776
302	0.1343893059
303	0.1340482293
304	0.1336327908
305	0.1332027034
306	0.1327036415
307	0.1323985263
308	0.1317799553
309	0.1313404283
310	0.1310023691
311	0.1305882024
312	0.1301082337
313	0.1297659807
314	0.1294101235
315	0.1290751837
316	0.1289502662
317	0.1288273455
318	0.1282890787
319	0.1278181709
320	0.1275400442
321	0.1270356713
322	0.1265088171
323	0.1261462911
324	0.1257485436
325	0.1256533083
326	0.1254758877
327	0.1251061728
328	0.1246235271
329	0.1243217596
330	0.1240015876
331	0.1232336246
332	0.1229799284
333	0.1227360633
334	0.1224278028
335	0.1220741215
336	0.1216109001
337	0.1214045913
338	0.1212312732
339	0.1209036008
340	0.1203965608
341	0.1197926485
342	0.119225707
343	0.1190226818
344	0.1185491134
345	0.1183035563
346	0.117956818
347	0.1176154649
348	0.1173485495
349	0.116766623
350	0.116464377
351	0.1161752569
352	0.1158710488
353	0.1154263161
354	0.1151835262
355	0.1148966604
356	0.114637567
357	0.1142588554
358	0.1138587178
359	0.1135979373
360	0.1133071878
361	0.1128978998
362	0.1125829299
363	0.1122439823
364	0.1120954019
365	0.1115468411
366	0.1110782562
367	0.1107496476
368	0.110442467
369	0.1101755851
370	0.1096565502
371	0.1093411391
372	0.1089656654
373	0.1087048465
374	0.1082313817
375	0.1078738605
376	0.1076809551
377	0.1075056965
378	0.1073710989
379	0.1071911006
380	0.1070490304
381	0.1065016573
382	0.1059292294
383	0.1055271567
384	0.1053516204
385	0.1051492811
386	0.1047799866
387	0.1046540451
388	0.1044785156
389	0.1041402381
390	0.1037771911
391	0.1035126817
392	0.1033191441
393	0.1031624912
394	0.1028921994
395	0.1028121727
396	0.102182357
397	0.1017575066
398	0.1014208727
399	0.1012675891
400	0.1010916596
401	0.1007397016
402	0.1003773918
403	0.1001376791
404	0.09982224492
405	0.09971487866
406	0.09947440036
407	0.09929628397
408	0.09904021582
409	0.09888153864
410	0.0986397467
411	0.09841221706
412	0.09820566484
413	0.09801823114
414	0.0979313838
415	0.09788222747
416	0.09769521548
417	0.09757079698
418	0.09745499259
419	0.09722606057
420	0.09705501766
421	0.09679722132
422	0.09662930974
423	0.0964224683
424	0.09609572129
425	0.09581677128
426	0.09563114693
427	0.0955064881
428	0.09525001049
429	0.09494060347
430	0.09484606045
431	0.09474795476
432	0.09458494402
433	0.09445368382
434	0.0942194251
435	0.09403718665
436	0.09378312948
437	0.09356324058
438	0.09337684544
439	0.0932312209
440	0.09295651471
441	0.09269542866
442	0.0925346625
443	0.0923550374
444	0.09223404851
445	0.09184226066
446	0.09113518464
447	0.09097069942
448	0.09078373238
449	0.0907042541
450	0.09050152058
451	0.09010263894
452	0.08981700566
453	0.08966346053
454	0.08935503784
455	0.08918219571
456	0.08899756008
457	0.08871459993
458	0.08836920228
459	0.08777976799
460	0.08742327697
461	0.08715244267
462	0.0869740777
463	0.08681063818
464	0.08662735689
465	0.08647901058
466	0.08620919155
467	0.08610486971
468	0.08594553109
469	0.08574146267
470	0.08546396994
471	0.08522156896
472	0.08502466697
473	0.08488980477
474	0.08477790494
475	0.08462200709
476	0.08453082465
477	0.084302155
478	0.08412570501
479	0.08396398311
480	0.08381364151
481	0.08365411976
482	0.08348542838
483	0.0833124382
484	0.08317314644
485	0.08296692979
486	0.08281171686
487	0.08260558227
488	0.08244148076
489	0.08230037025
490	0.08194571541
491	0.08183312907
492	0.08158664706
493	0.08136397202
494	0.08119030404
495	0.08101999452
496	0.08085116306
497	0.08072780538
498	0.08055654503
499	0.08031351483
500	0.08024217355
501	0.07992086227
502	0.07961547323
503	0.07951001494
504	0.07915651901
505	0.07897223485
506	0.07871401837
507	0.07854134938
508	0.07833163647
509	0.07821169805
510	0.07804633757
511	0.07776116054
512	0.07754554337
513	0.07740851237
514	0.07723907056
515	0.07706941757
516	0.07677561867
517	0.07667702144
518	0.07649325529
519	0.07630164784
520	0.07623210047
521	0.07609132488
522	0.07591895936
523	0.07575243502
524	0.075537977
525	0.07540352081
526	0.07529691501
527	0.07521901622
528	0.07508977227
529	0.07492659163
530	0.07475384135
531	0.07465873943
532	0.07458936112
533	0.07429746769
534	0.07416435913
535	0.07409377753
536	0.07401820663
537	0.073898374
538	0.07369109502
539	0.07359980418
540	0.07342925573
541	0.07325619885
542	0.07309488989
543	0.07297790072
544	0.07271108787
545	0.07262194058
546	0.07231716265
547	0.07223476148
548	0.07212874723
549	0.07196633676
550	0.07173702642
551	0.07162697798
552	0.07148255259
553	0.07132625416
554	0.07117832261
555	0.07100454405
556	0.07086240102
557	0.07068420633
558	0.07052860648
559	0.07035091694
560	0.07023460585
561	0.06998890037
562	0.06995085079
563	0.06959096668
564	0.06948716852
565	0.06938100917
566	0.06930820638
567	0.06911206251
568	0.06906164869
569	0.06899949399
570	0.06879108516
571	0.06866871771
572	0.06860094693
