iter	Passed	Remaining
0	72	72170
1	78	38930
2	83	27695
3	89	22181
4	95	18988
5	101	16760
6	107	15238
7	111	13885
8	116	12836
9	121	12001
10	127	11491
11	133	11015
12	139	10627
13	144	10176
14	149	9829
15	155	9542
16	160	9266
17	166	9101
18	172	8911
19	177	8704
20	182	8489
21	187	8349
22	194	8250
23	199	8107
24	204	7961
25	209	7835
26	217	7853
27	225	7819
28	232	7780
29	241	7799
30	248	7752
31	255	7729
32	262	7701
33	270	7690
34	276	7619
35	281	7530
36	286	7450
37	291	7367
38	295	7289
39	301	7228
40	305	7152
41	310	7078
42	315	7012
43	319	6951
44	325	6910
45	330	6856
46	335	6799
47	340	6753
48	345	6702
49	349	6647
50	355	6605
51	363	6620
52	368	6587
53	373	6549
54	378	6506
55	384	6479
56	389	6449
57	395	6423
58	400	6385
59	405	6353
60	409	6310
61	414	6270
62	419	6232
63	424	6209
64	428	6170
65	434	6143
66	439	6113
67	443	6082
68	449	6059
69	454	6033
70	459	6013
71	466	6016
72	476	6049
73	484	6066
74	495	6106
75	502	6113
76	508	6090
77	513	6069
78	518	6040
79	523	6017
80	534	6060
81	540	6048
82	545	6024
83	550	5998
84	554	5973
85	559	5942
86	565	5929
87	571	5918
88	576	5896
89	582	5886
90	586	5863
91	591	5837
92	596	5817
93	601	5793
94	605	5769
95	610	5750
96	615	5729
97	619	5704
98	624	5683
99	629	5668
100	635	5654
101	640	5640
102	645	5619
103	649	5598
104	655	5584
105	661	5577
106	667	5570
107	673	5558
108	678	5543
109	682	5523
110	687	5505
111	692	5489
112	697	5472
113	703	5464
114	710	5470
115	719	5483
116	725	5475
117	730	5461
118	735	5444
119	740	5429
120	745	5414
121	751	5405
122	756	5391
123	761	5380
124	766	5363
125	771	5353
126	777	5345
127	781	5325
128	786	5307
129	791	5299
130	796	5282
131	801	5267
132	806	5256
133	811	5244
134	816	5228
135	820	5215
136	825	5200
137	829	5183
138	834	5166
139	838	5150
140	842	5133
141	847	5121
142	852	5109
143	857	5094
144	862	5083
145	868	5077
146	872	5063
147	877	5049
148	881	5034
149	885	5020
150	890	5006
151	894	4991
152	899	4980
153	904	4966
154	908	4950
155	913	4939
156	917	4926
157	921	4912
158	926	4899
159	931	4889
160	936	4878
161	940	4863
162	944	4851
163	949	4838
164	954	4829
165	958	4817
166	963	4804
167	967	4791
168	973	4784
169	977	4774
170	982	4761
171	986	4751
172	991	4740
173	996	4728
174	1001	4721
175	1005	4708
176	1010	4697
177	1015	4689
178	1019	4677
179	1024	4666
180	1028	4654
181	1034	4647
182	1039	4642
183	1044	4630
184	1048	4620
185	1053	4612
186	1059	4604
187	1064	4597
188	1068	4585
189	1073	4576
190	1078	4569
191	1083	4559
192	1088	4549
193	1092	4540
194	1097	4529
195	1101	4518
196	1105	4507
197	1110	4499
198	1115	4489
199	1119	4478
200	1124	4469
201	1128	4458
202	1133	4448
203	1137	4439
204	1142	4429
205	1146	4417
206	1150	4408
207	1155	4398
208	1159	4389
209	1164	4379
210	1169	4373
211	1173	4363
212	1178	4353
213	1182	4344
214	1187	4335
215	1191	4325
216	1196	4316
217	1200	4307
218	1205	4299
219	1209	4289
220	1216	4286
221	1221	4280
222	1230	4287
223	1242	4303
224	1253	4317
225	1267	4341
226	1275	4343
227	1281	4338
228	1287	4333
229	1292	4327
230	1298	4322
231	1304	4319
232	1317	4336
233	1323	4332
234	1329	4326
235	1334	4321
236	1340	4314
237	1345	4307
238	1350	4300
239	1355	4293
240	1364	4297
241	1371	4294
242	1376	4289
243	1381	4279
244	1385	4270
245	1390	4262
246	1395	4254
247	1400	4246
248	1405	4237
249	1410	4230
250	1415	4224
251	1420	4216
252	1425	4210
253	1430	4202
254	1436	4197
255	1441	4190
256	1446	4181
257	1450	4172
258	1455	4165
259	1460	4157
260	1466	4150
261	1471	4144
262	1477	4139
263	1483	4134
264	1489	4129
265	1495	4126
266	1502	4123
267	1509	4122
268	1517	4123
269	1523	4120
270	1531	4119
271	1542	4127
272	1548	4122
273	1554	4119
274	1560	4114
275	1569	4118
276	1577	4118
277	1583	4112
278	1590	4109
279	1595	4103
280	1600	4095
281	1605	4087
282	1612	4085
283	1618	4081
284	1624	4075
285	1629	4068
286	1634	4061
287	1640	4056
288	1646	4050
289	1654	4049
290	1662	4050
291	1667	4043
292	1673	4037
293	1679	4033
294	1685	4028
295	1691	4023
296	1697	4017
297	1701	4009
298	1708	4005
299	1715	4001
300	1721	3997
301	1727	3992
302	1733	3987
303	1742	3988
304	1747	3981
305	1751	3972
306	1756	3965
307	1762	3960
308	1767	3953
309	1775	3952
310	1790	3967
311	1805	3982
312	1820	3996
313	1825	3987
314	1829	3979
315	1834	3971
316	1841	3967
317	1848	3964
318	1855	3960
319	1860	3954
320	1866	3948
321	1871	3940
322	1877	3935
323	1888	3940
324	1892	3931
325	1896	3921
326	1901	3913
327	1906	3905
328	1911	3897
329	1915	3888
330	1920	3881
331	1925	3874
332	1931	3868
333	1937	3862
334	1942	3855
335	1947	3848
336	1952	3840
337	1956	3832
338	1961	3824
339	1967	3818
340	1972	3812
341	1978	3805
342	1985	3803
343	1990	3796
344	1996	3790
345	2001	3782
346	2013	3789
347	2019	3783
348	2025	3778
349	2031	3772
350	2036	3765
351	2042	3760
352	2049	3756
353	2054	3749
354	2061	3745
355	2068	3742
356	2073	3735
357	2077	3726
358	2082	3717
359	2087	3711
360	2092	3703
361	2097	3696
362	2102	3690
363	2108	3683
364	2112	3675
365	2117	3667
366	2122	3660
367	2127	3653
368	2132	3646
369	2137	3639
370	2142	3632
371	2147	3625
372	2152	3619
373	2158	3613
374	2164	3606
375	2169	3599
376	2174	3593
377	2179	3585
378	2184	3579
379	2190	3573
380	2194	3566
381	2199	3559
382	2206	3553
383	2211	3547
384	2216	3539
385	2220	3531
386	2224	3523
387	2229	3516
388	2234	3509
389	2238	3501
390	2244	3495
391	2249	3489
392	2254	3481
393	2258	3474
394	2263	3467
395	2267	3459
396	2275	3455
397	2280	3449
398	2287	3445
399	2293	3439
400	2301	3437
401	2308	3434
402	2313	3427
403	2318	3420
404	2323	3413
405	2329	3408
406	2334	3402
407	2339	3395
408	2344	3388
409	2349	3381
410	2354	3374
411	2359	3367
412	2365	3362
413	2370	3355
414	2376	3350
415	2382	3344
416	2387	3337
417	2392	3331
418	2401	3329
419	2408	3326
420	2414	3320
421	2419	3314
422	2430	3314
423	2445	3321
424	2450	3315
425	2455	3308
426	2460	3302
427	2465	3294
428	2470	3287
429	2474	3280
430	2479	3273
431	2484	3267
432	2490	3261
433	2495	3254
434	2500	3248
435	2507	3243
436	2512	3237
437	2519	3232
438	2531	3235
439	2539	3231
440	2546	3227
441	2555	3226
442	2563	3222
443	2572	3221
444	2582	3221
445	2593	3221
446	2600	3217
447	2618	3226
448	2630	3227
449	2636	3221
450	2641	3215
451	2650	3213
452	2657	3209
453	2667	3207
454	2675	3204
455	2695	3216
456	2712	3222
457	2720	3219
458	2732	3220
459	2738	3214
460	2745	3209
461	2753	3206
462	2759	3200
463	2766	3195
464	2775	3193
465	2784	3191
466	2792	3187
467	2800	3183
468	2808	3179
469	2815	3175
470	2825	3173
471	2838	3175
472	2847	3172
473	2853	3166
474	2860	3162
475	2870	3160
476	2880	3158
477	2888	3153
478	2895	3149
479	2903	3145
480	2909	3139
481	2920	3139
